Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Optio culpa natus s,,,,,,,,,,,,
Building,Neque eum vel et tem,,,,,,,,,,,,
Room Name,Urielle Kaufman,,,,,,,,,,,,
Date,2017 March 13,,,,,,,,,,,,
Layout Name,Cailin Schultz,,,,,,,,,,,,
X Axis,,,,,,,,,,,-37.13,75.38,36.0
Y Axis,,,,,,,,,,,0.0,36.13,36.0
Wall, ,-37.13,36.13,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,31.38,36.13,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-3.63,25.63,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,53.88,25.63,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,26.38,13.88,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,65.63,13.88,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,52.88,6.88,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,75.38,6.88,0.0,0.0,0.0,1.0,0.0,,,,,
