Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Tenetur necessitatib,,,,,,,,,,,,
Building,Officia sit alias a,,,,,,,,,,,,
Room Name,Plato Cannon,,,,,,,,,,,,
Date,1985 September 08,,,,,,,,,,,,
Layout Name,Cooper Santos,,,,,,,,,,,,
X Axis,,,,,,,,,,,-49.0,47.25,24.0
Y Axis,,,,,,,,,,,0.0,59.0,24.0
Wall,rq,-48.50,59.00,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,rq,46.00,59.00,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,ed,-49.00,43.25,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,ed,47.25,43.25,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,q,-46.00,31.00,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,q,47.00,31.00,0.0,0.0,0.0,1.0,0.0,,,,,
