Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Dolorem est fugiat ,,,,,,,,,,,,
Building,Voluptatem Omnis cu,,,,,,,,,,,,
Room Name,Jasmine Flores,,,,,,,,,,,,
Date,2003 March 09,,,,,,,,,,,,
X Axis,,,,,,,,,,,-26.8,26.95,36.0
Y Axis,,,,,,,,,,,0.0,29.64,36.0
sensor, ,-10.3,10.84,7.5,7.5,0.0,1.0,0.0,,,,,
calibration, ,4.45,11.34,7.5,7.5,0.0,1.0,0.0,,,,,
camera, ,-2.55,23.34,7.5,7.5,0.0,1.0,90.0,,,,,
Sensor, ,-26.8,29.64,7.5,7.5,0.0,1.0,0.0,,,,,
Calibration, ,26.95,26.89,7.5,7.5,0.0,1.0,0.0,,,,,
Camera, ,2.45,9.64,7.5,7.5,0.0,1.0,0.0,,,,,
