Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Maiores modi volupta,,,,,,,,,,,,
Building,Autem quas quidem de,,,,,,,,,,,,
Room Name,Felicia Lambert,,,,,,,,,,,,
Date,1970 June 25,,,,,,,,,,,,
Layout Name,Darius Weber,,,,,,,,,,,,
X Axis,,,,,,,,,,,-63.63,66.38,36.0
Y Axis,,,,,,,,,,,0.0,49.88,36.0
Arrow, ,-63.63,49.88,0.0,102.0,0.0,1.0,0.0,,,,,
Arrow, ,41.2,49.88,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-36.88,29.88,0.0,102.0,0.0,1.0,0.0,,,,,
Wall, ,66.38,29.88,0.0,0.0,0.0,1.0,0.0,,,,,
