Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Sint architecto est,,,,,,,,,,,,
Building,Nihil minus eligendi,,,,,,,,,,,,
Room Name,Shoshana Bond,,,,,,,,,,,,
Date,2022 December 12,,,,,,,,,,,,
Layout Name,Jarrod Flynn,,,,,,,,,,,,
X Axis,,,,,,,,,,,0.0,197.0,24.0
Y Axis,,,,,,,,,,,0.0,293.0,24.0
Wall, ,-42.00,39.00,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,43.25,39.00,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-38.75,9.75,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,57.25,9.75,0.0,0.0,0.0,1.0,0.0,,,,,
