Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Placeat dolores omn,,,,,,,,,,,,
Building,Inventore assumenda ,,,,,,,,,,,,
Room Name,Sebastian Ray,,,,,,,,,,,,
Date,1997 July 20,,,,,,,,,,,,
Layout Name,Nicole Hester,,,,,,,,,,,,
X Axis,,,,,,,,,,,-49.63,63.94,36.0
Y Axis,,,,,,,,,,,-38.13,72.63,36.0
Wall, ,-10.63,47.63,0.0,60.0,0.0,1.0,0.0,,,,,
Wall, ,47.28,47.63,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,22.63,36.38,0.0,36.0,0.0,1.0,0.0,,,,,
Wall, ,56.51,36.38,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,47.63,26.13,0.0,36.0,0.0,1.0,90.0,,,,,
Wall, ,47.63,-8.64,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,30.63,3.13,0.0,42.0,0.0,1.0,90.0,,,,,
Wall, ,30.63,-38.13,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,18.63,-28.13,0.0,42.0,0.0,1.0,-180.0,,,,,
Wall, ,-24.73,-28.13,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-6.88,-31.38,0.0,36.0,0.0,1.0,180.0,,,,,
Wall, ,-43.98,-31.38,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-28.63,-12.88,0.0,42.0,0.0,1.0,-90.0,,,,,
Wall, ,-28.63,29.68,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-39.88,0.88,0.0,48.0,0.0,1.0,-90.0,,,,,
Wall, ,-39.88,46.39,0.0,0.0,0.0,1.0,0.0,,,,,
Arrow, ,-49.63,72.63,0.0,96.0,0.0,1.0,0.0,,,,,
Arrow, ,45.01,72.63,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-45.13,60.88,0.0,108.0,0.0,1.0,0.0,,,,,
Wall, ,61.68,60.88,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-37.13,56.38,0.0,102.0,0.0,1.0,0.0,,,,,
Wall, ,63.94,56.38,0.0,0.0,0.0,1.0,0.0,,,,,
