Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Impedit consectetur,,,,,,,,,,,,
Building,Repudiandae laborum,,,,,,,,,,,,
Room Name,Penelope Andrews,,,,,,,,,,,,
Date,2003 August 28,,,,,,,,,,,,
Layout Name,Cailin Wright,,,,,,,,,,,,
X Axis,,,,,,,,,,,-11.38,11.88,24.0
Y Axis,,,,,,,,,,,-10.38,12.88,24.0
Room Navigation, ,11.88,0.13,0.0,12.0,0.0,1.0,-180.0,,,,,
Room Navigation, ,-0.13,12.88,0.0,12.0,0.0,1.0,-270.0,,,,,
Room Navigation, ,-11.38,0.13,0.0,12.0,0.0,1.0,0.0,,,,,
Room Navigation, ,-0.13,-10.38,0.0,12.0,0.0,1.0,-90.0,,,,,
Room Navigation, ,-6.88,-6.63,0.0,12.0,0.0,1.0,-45.0,,,,,
Room Navigation, ,7.38,-7.38,0.0,12.0,0.0,1.0,-135.0,,,,,
Room Navigation, ,8.38,8.63,0.0,12.0,0.0,1.0,-225.0,,,,,
Room Navigation, ,-6.88,6.88,0.0,12.0,0.0,1.0,-314.99999999999994,,,,,
