Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Ullam maiores dolore,,,,,,,,,,,,
Building,Voluptate ducimus p,,,,,,,,,,,,
Room Name,Malachi Vance,,,,,,,,,,,,
Date,1989 September 27,,,,,,,,,,,,
Layout Name,Olivia Guzman,,,,,,,,,,,,
X Axis,,,,,,,,,,,-70.75,37.5,36.0
Y Axis,,,,,,,,,,,-25.75,68.25,36.0
Wall, ,-70.75,68.25,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-1.25,68.25,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-17.75,53.00,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,37.50,21.25,0.0,0.0,0.0,1.0,0.0,,,,,
Room Navigation,testing,25.50,-25.75,0.0,36.0,0.0,1.0,45.0,,,,,
