Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Eum sequi voluptatem,,,,,,,,,,,,
Building,Occaecat est velit v,,,,,,,,,,,,
Room Name,Fitzgerald Douglas,,,,,,,,,,,,
Date,2025 February 11,,,,,,,,,,,,
Layout Name,Sheila Rios,,,,,,,,,,,,
X Axis,,,,,,,,,,,-28.25,22.75,36.0
Y Axis,,,,,,,,,,,-26.76,25.75,36.0
Room Navigation, ,22.75,25.75,0.0,48.0,0.0,1.0,0.0,,,,,
Room Navigation, ,22.75,-26.75,0.0,54.0,0.0,1.0,90.0,,,,,
Room Navigation, ,-28.25,-26.75,0.0,48.0,0.0,1.0,180.0,,,,,
Room Navigation, ,-26.75,25.75,0.0,54.0,0.0,1.0,-88.60306739261365,,,,,
