Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Sapiente ipsa sit p,,,,,,,,,,,,
Building,Qui magni provident,,,,,,,,,,,,
Room Name,Victor Payne,,,,,,,,,,,,
Date,1983 April 06,,,,,,,,,,,,
Layout Name,Wanda Merritt,,,,,,,,,,,,
X Axis,,,,,,,,,,,-32.13,53.38,36.0
Y Axis,,,,,,,,,,,-8.38,43.38,36.0
Wall,,-32.13,43.38,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,20.88,43.38,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,-21.13,27.88,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,26.63,27.88,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,17.38,-8.38,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,17.38,-8.38,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,q,17.38,-8.38,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,q,53.38,-8.38,0.0,0.0,0.0,1.0,0.0,,,,,
