Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Itaque nisi adipisic,,,,,,,,,,,,
Building,Quaerat asperiores q,,,,,,,,,,,,
Room Name,Vladimir Harris,,,,,,,,,,,,
Date,1978 January 06,,,,,,,,,,,,
Layout Name,Willa Monroe,,,,,,,,,,,,
X Axis,,,,,,,,,,,-29.88,55.63,36.0
Y Axis,,,,,,,,,,,-11.63,41.38,36.0
Wall,,-29.88,41.38,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,55.63,41.38,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,Eligendi laborum Do,19.63,24.13,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,Eligendi laborum Do,19.63,-11.63,0.0,0.0,0.0,1.0,0.0,,,,,
