Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Voluptatem corporis ,,,,,,,,,,,,
Building,Aut earum libero cum,,,,,,,,,,,,
Room Name,Elvis Gallagher,,,,,,,,,,,,
Date,1993 June 18,,,,,,,,,,,,
Layout Name,Xenos Bradshaw,,,,,,,,,,,,
X Axis,,,,,,,,,,,-37.13,75.38,24.0
Y Axis,,,,,,,,,,,0.0,36.13,24.0
Wall,,-37.13,36.13,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,31.38,36.13,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,-3.63,25.63,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,53.88,25.63,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,26.38,13.88,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,65.63,13.88,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,52.88,6.88,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,,75.38,6.88,0.0,0.0,0.0,1.0,0.0,,,,,
