Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,portrait,,,,,,,,,,,,
Neighborhood,Broad,,,,,,,,,,,,
Building,Greenway,,,,,,,,,,,,
Room Name,Test Room,,,,,,,,,,,,
Date,2024 March 21,,,,,,,,,,,,
X Axis,,,,,,,,,,,0.0,100.0,24.0
Y Axis,,,,,,,,,,,0.0,125.0,24.0
Calibration,A1,72.0,100.0,0.0,0.0,0.0,1.0,0.0,,,,,
Camera,Camera a,72.0,72.0,0.0,0.0,0.0,1.0,90.0,,,,,
Sensor,Sensor lw67756,72.0,25.0,0.0,0.0,0.0,1.0,0.0,,,,,
Furniture,Table,26.0,34.5,24.0,24.0,0.0,1.0,0.0,Rectangle,,,,
Furniture,Table,30.0,80.0,0.0,0.0,10.0,1.0,0.0,Circle,,,,
Wall,A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,0.0,100.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,0.0,100.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,50.0,100.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,50.0,100.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,50.0,125.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,50.0,125.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,100.0,125.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,100.0,125.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,100.0,75.0,0.0,0.0,0.0,1.0,0.0,,,,,
Window,A,100.0,75.0,0.0,0.0,0.0,1.0,0.0,,,,,
Window,A,100.0,25.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,100.0,25.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,100.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,100.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,75.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
Door,A,75.0,0.0,1.0,-50.0,0.0,1.0,-15.0,,right,,,
Wall,A,25.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
