Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Autem saepe deserunt,,,,,,,,,,,,
Building,Quidem suscipit volu,,,,,,,,,,,,
Room Name,Moana Zimmerman,,,,,,,,,,,,
Date,1996 August 08,,,,,,,,,,,,
X Axis,,,,,,,,,,,0.0,122.0,24.0
Y Axis,,,,,,,,,,,0.0,121.0,24.0
Window,dw1,1.0,12.0,0.0,0.0,0.0,1.0,0.0,,,,,
Window,dw1,21.0,121.0,0.0,0.0,0.0,1.0,0.0,,,,,
Furniture, ,12.0,12.0,0.0,0.0,112.0,1.0,0.0,Circle,,,,
Sensor,2e,122.0,13.0,0.0,0.0,0.0,1.0,0.0,,,,,
