Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Consequatur iusto ut,,,,,,,,,,,,
Building,Voluptatem accusanti,,,,,,,,,,,,
Room Name,Cyrus Fitzpatrick,,,,,,,,,,,,
Date,1970 October 05,,,,,,,,,,,,
X Axis,,,,,,,,,,,-55.79,44.96,36.0
Y Axis,,,,,,,,,,,-30.35,53.1,36.0
Sensor, ,-51.29,39.51,7.5,7.5,0.0,1.0,0.0,,,,,
Furniture, ,-42.54,-10.96,39.431569556907064,7.8863139113814125,0.0,1.0,0.0,Rectangle,,,,
Furniture, ,12.19,-30.35,26.265195245127607,26.265195245127607,0.0,1.0,0.0,Rectangle,,,,
Sensor, ,22.96,26.65,12.5,12.5,0.0,1.0,0.0,,,,,
Furniture, ,-36.29,-26.95,20.488964757868082,34.148274596446804,0.0,1.0,0.0,Rectangle,,,,
Furniture, ,-33.79,26.46,14.60662485083398,14.60662485083398,7.30331242541699,1.0,0.0,Circle,,,,
Furniture, ,-7.79,53.1,38.74038073840074,5.70970976247616,0.0,1.0,0.0,Rectangle,,,,
Furniture, ,44.96,-8.4,7.5,7.5,0.0,1.0,0.0,Rectangle,,,,
Furniture, ,-55.79,5.5,10.624520670234508,10.624520670234508,5.312260335117254,1.0,0.0,Circle,,,,
