Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,Pariatur Tempore i,,,,,,,,,,,,
Building,Consequat Nemo face,,,,,,,,,,,,
Room Name,Cole Holder,,,,,,,,,,,,
Date,2012 October 29,,,,,,,,,,,,
X Axis,,,,,,,,,,,-51.29,22.96,36.0
Y Axis,,,,,,,,,,,-30.35,39.51,36.0
Sensor, ,-51.29,39.51,7.5,7.5,0.0,1.0,0.0,,,,,
Furniture, ,-42.54,-10.96,39.431569556907064,7.8863139113814125,0.0,1.0,0.0,Rectangle,,,,
Furniture, ,12.19,-30.35,26.265195245127607,26.265195245127607,0.0,1.0,0.0,Rectangle,,,,
Sensor, ,22.96,26.65,12.5,12.5,0.0,1.0,0.0,,,,,
Furniture, ,-36.29,-26.95,20.488964757868082,34.148274596446804,0.0,1.0,0.0,Rectangle,,,,
