Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,,,,,,,,,,,,,
Neighborhood,A,,,,,,,,,,,,
Building,B,,,,,,,,,,,,
Room Name,C,,,,,,,,,,,,
Date,2025 April 27,,,,,,,,,,,,
X Axis,,,,,,,,,,,-64.5,70.75,24.0
Y Axis,,,,,,,,,,,-69.0,68.5,24.0
Wall, ,-64.50,52.25,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-64.50,-69.00,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-64.50,-69.00,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,70.75,-69.00,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,70.75,-69.00,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,70.75,53.25,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,70.75,53.02,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,31.50,53.25,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,31.75,53.02,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,31.50,8.25,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,qwe,31.75,8.22,0.0,0.0,0.0,1.0,0.0,,,,,
Wall,qwe,-33.50,8.25,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-32.51,8.22,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-32.75,53.00,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-32.51,52.76,0.0,0.0,0.0,1.0,0.0,,,,,
Wall, ,-59.75,68.50,0.0,0.0,0.0,1.0,0.0,,,,,
Room Navigation, ,-46.25,49.00,0.0,42.0,0.0,1.0,-270.0,,,,,
Sensor, ,51.95,45.35,2.507826426674347,2.507826426674347,0.0,1.0,0.0,,,,,
Calibration, ,-24.79,-9.65,3.4119249686500335,3.4119249686500335,0.0,1.0,0.0,,,,,
Calibration, ,-5.29,-11.9,3.4093651516084287,3.4093651516084287,0.0,1.0,0.0,,,,,
Camera, ,61.59,-55.15,2.6106983586933166,2.6106983586933166,0.0,1.0,0.0,,,,,
Furniture, ,-15.79,-37.4,7.5,7.5,3.75,1.0,0.0,Circle,,,,
Furniture, ,16.71,-37.15,7.5,7.5,0.0,1.0,0.0,Rectangle,,,,
