Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,portrait,,,,,,,,,,,,
Neighborhood,Broad,,,,,,,,,,,,
Building,Greenway,,,,,,,,,,,,
Room Name,Test Room,,,,,,,,,,,,
Date,2024 March 21,,,,,,,,,,,,
X Axis,,,,,,,,,,,0.0,125.0,24.0
Y Axis,,,,,,,,,,,0.0,125.0,24.0
Calibration,A1,72.0,100.0,,,,,,,,,,
Camera,Camera A,72.0,72.0,,,,,90.0,,,,,
Sensor,Sesnor LW67746,72.0,25.0,,,,,,,,,,
Furniture,table,26.0,34.5,24.0,24.0,,,0.0,rectangle,,,,
Furniture,table,30.0,80.0,,,10.0,,,circle,,,,
Wall,a,0.0,0.0,,,,,,,,,,
Wall,a,0.0,100.0,,,,,,,,,,
Wall,a,0.0,100.0,,,,,,,,,,
Wall,a,50.0,100.0,,,,,,,,,,
Wall,a,50.0,100.0,,,,,,,,,,
Wall,a,50.0,125.0,,,,,,,,,,
Wall,a,50.0,125.0,,,,,,,,,,
Wall,a,100.0,125.0,,,,,,,,,,
Wall,a,100.0,125.0,,,,,,,,,,
Wall,a,100.0,75.0,,,,,,,,,,
Window,a,100.0,75.0,,,,,,,,,,
Window,a,100.0,25.0,,,,,,,,,,
Wall,a,100.0,25.0,,,,,,,,,,
Wall,a,100.0,0.0,,,,,,,,,,
Wall,a,100.0,0.0,,,,,,,,,,
Wall,a,75.0,0.0,,,,,,,,,,
Door,a,75.0,0.0,1.0,-50.0,,,-15.0,,right,,,
Wall,a,25.0,0.0,,,,,,,,,,
Wall,a,0.0,0.0,,,,,,,,,,
Room Navigation,room,125.0,25.0,,,,,,,left,,,
