Type,Descriptor,X,Y,width,length,radius,scale,rotation,furniture_type,room_navigation_direction,min,max,step
Orientation,portrait,,,,,,,,,,,,
Neighborhood,Broad,,,,,,,,,,,,
Building,Greenway,,,,,,,,,,,,
Room Name,Test Room,,,,,,,,,,,,
Date,2024 March 21,,,,,,,,,,,,
X Axis,,,,,,,,,,,0,125,24
Y Axis,,,,,,,,,,,0,125,24
Calibration,A1,72,100,,,,,,,,,,
Camera,Camera A,72,72,,,,,90,,,,,
Sensor,Sesnor LW67746,72,25,,,,,,,,,,
Furniture,table,26,34.5,24,24,,,0,rectangle,,,,
Furniture,table,30,80,,,10,,,circle,,,,
Wall,a,0,0,,,,,,,,,,
Wall,a,0,100,,,,,,,,,,
Wall,a,0,100,,,,,,,,,,
Wall,a,50,100,,,,,,,,,,
Wall,a,50,100,,,,,,,,,,
Wall,a,50,125,,,,,,,,,,
Wall,a,50,125,,,,,,,,,,
Wall,a,100,125,,,,,,,,,,
Wall,a,100,125,,,,,,,,,,
Wall,a,100,75,,,,,,,,,,
Window,a,100,75,,,,,,,,,,
Window,a,100,25,,,,,,,,,,
Wall,a,100,25,,,,,,,,,,
Wall,a,100,0,,,,,,,,,,
Wall,a,100,0,,,,,,,,,,
Wall,a,75,0,,,,,,,,,,
Door,a,75,0,1,-50,,,-15,,right,,,
Wall,a,25,0,,,,,,,,,,
Wall,a,0,0,,,,,,,,,,
Room Navigation,room,125,25,,,,,,,left,,,
